"TEAM","P1","P2","P3","P4","P5","PLAYS","RUN_PLAYS","PASS_PLAYS","TDS","BLITZ_PROB","TOT_YDS","RUSH_YDS","PASS_YDS","YDS_PER_PLAY","ATT","TARGETS","RECEPTIONS","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT","BLITZ"
"Air Force Falcons","Garrett Griffin","Garrett Brown","Jalen Robinette","Shayne Davern","Jacobi Owens",94,72,22,1,0.04,641,398,243,6.8,21,21,14,66.7,5.5,17.4,11.6,4
"Air Force Falcons","Broam Hart","Garrett Griffin","Garrett Brown","Jalen Robinette","Jacobi Owens",79,60,19,1,0.05,403,275,128,5,17,17,9,52.9,4.6,14.2,7.5,4
"Air Force Falcons","Total","Total","Total","Total","Total",1002,784,218,15,0.08,5428,3544,1893,5.3,206,204,117,57.4,4.5,16.2,9.2,85
"Alabama Crimson Tide","Jalston Fowler","Brian Vogler","DeAndrew White","Amari Cooper","T.J. Yeldon",72,36,36,2,0.12,514,123,387,6.9,35,35,27,77.1,3.4,14.3,11.1,9
"Alabama Crimson Tide","DeAndrew White","Christion Jones","Amari Cooper","Derrick Henry","O.J. Howard",52,27,25,1,0.15,345,172,173,6.6,24,23,15,65.2,6.4,11.5,7.2,8
"Alabama Crimson Tide","DeAndrew White","Christion Jones","Amari Cooper","T.J. Yeldon","O.J. Howard",80,28,52,3,0.19,529,160,369,6.5,50,51,31,60.8,5.7,11.9,7.4,15
"Alabama Crimson Tide","Brian Vogler","DeAndrew White","Christion Jones","Amari Cooper","T.J. Yeldon",55,30,25,2,0.18,291,155,136,5.2,25,25,12,48,5.2,11.3,5.4,10
"Alabama Crimson Tide","Total","Total","Total","Total","Total",959,507,452,31,0.15,6412,2619,3775,6.6,437,433,280,64.7,5.2,13.5,8.6,148
"Arizona State Sun Devils","Deantre Lewis","Gary Chambers","D.J. Foster","Cameron Smith","Jaelen Strong",57,16,41,1,0.18,370,44,327,6.2,36,34,23,67.6,2.8,14.2,9.1,11
"Arizona State Sun Devils","Gary Chambers","D.J. Foster","Kody Kohl","Cameron Smith","Jaelen Strong",101,39,62,4,0.19,642,215,427,6.4,59,57,29,50.9,5.5,14.7,7.2,19
"Arizona State Sun Devils","D.J. Foster","Kody Kohl","De'Marieya Nelson","Cameron Smith","Jaelen Strong",122,67,55,4,0.14,952,408,548,7.6,52,52,40,76.9,6.1,13.7,10.5,18
"Arizona State Sun Devils","D.J. Foster","Kody Kohl","Cameron Smith","Jaelen Strong","Demario Richard",61,41,20,1,0.08,375,253,122,6.1,19,19,12,63.2,6.2,10.2,6.4,5
"Arizona State Sun Devils","Total","Total","Total","Total","Total",961,456,505,34,0.17,5749,2196,3556,5.8,466,461,281,61,4.8,12.7,7.6,168
"Arizona Wildcats","Total","Total","Total","Total","Total",1137,531,606,29,0.19,6460,2516,3955,5.6,566,544,322,59.2,4.7,12.3,7,225
"Arizona Wildcats","Austin Hill","Cayleb Jones","Davonte' Neal","Samajie Grant","Nick Wilson",96,47,49,2,0.18,605,195,410,6.2,45,44,27,61.4,4.1,15.2,9.1,18
"Arizona Wildcats","Austin Hill","Terris Jones-Grigsby","Cayleb Jones","Davonte' Neal","Samajie Grant",66,32,34,1,0.16,487,222,263,7.1,33,30,17,56.7,6.9,15.5,8,11
"Arizona Wildcats","Austin Hill","Trey Griffey","Cayleb Jones","Samajie Grant","Nick Wilson",55,27,28,1,0.16,269,165,104,4.9,27,26,12,46.2,6.1,8.7,3.9,9
"Arizona Wildcats","Austin Hill","Terris Jones-Grigsby","Cayleb Jones","Samajie Grant","Nate Phillips",60,32,28,1,0.29,405,138,267,6.4,26,25,15,60,4.3,17.8,10.3,18
"Arkansas Razorbacks","Total","Total","Total","Total","Total",838,488,350,19,0.16,4792,2506,2293,5.5,336,330,185,56.1,5.1,12.4,6.8,141
"Auburn Tigers","Total","Total","Total","Total","Total",905,563,342,23,0.16,6188,3234,2952,6.7,327,325,205,63.1,5.7,14.4,9,147
"Auburn Tigers","Quan Bray","Sammie Coates","Cameron Artis-Payne","Marcus Davis","D'haquille Williams",105,46,59,6,0.17,929,286,647,8.7,58,57,34,59.6,6.2,19,11.2,18
"Auburn Tigers","Sammie Coates","Brandon Fulse","Ricardo Louis","Cameron Artis-Payne","D'haquille Williams",80,52,28,4,0.16,644,247,397,8.1,28,28,22,78.6,4.8,18,14.2,13
"BYU Cougars","Mitch Mathews","Devin Mahina","Jordan Leslie","Mitchell Juergens","Paul Lasike",77,31,46,4,0.26,434,126,307,5.4,45,44,25,56.8,4.1,12.3,6.8,21
"BYU Cougars","Total","Total","Total","Total","Total",1038,518,520,32,0.21,5962,2345,3623,5.5,483,478,290,60.7,4.5,12.5,7.5,228
"BYU Cougars","Mitch Mathews","Jordan Leslie","Mitchell Juergens","Terenn Houk","Paul Lasike",100,39,61,3,0.11,570,183,390,5.3,57,56,34,60.7,4.7,11.5,6.8,12
"Baylor Bears","Antwan Goodley","Levi Norwood","Jay Lee","Corey Coleman","KD Cannon",100,25,75,5,0.12,754,105,648,7.3,71,68,52,76.5,4.2,12.5,9.1,12
"Baylor Bears","Total","Total","Total","Total","Total",1095,563,532,35,0.15,7331,2724,4595,6.5,508,499,316,63.3,4.8,14.5,9,163
"Baylor Bears","Antwan Goodley","Levi Norwood","Clay Fuller","Jay Lee","Shock Linwood",92,34,58,3,0.24,574,149,425,6.2,51,49,32,65.3,4.4,13.3,8.3,22
"Baylor Bears","Antwan Goodley","Tre'Von Armstead","Corey Coleman","Shock Linwood","KD Cannon",198,103,95,6,0.19,1358,437,923,6.6,90,90,58,64.4,4.2,15.9,10.3,38
"Baylor Bears","Antwan Goodley","Corey Coleman","Shock Linwood","Gus Penning","KD Cannon",65,35,30,2,0.13,399,155,245,5.8,29,27,11,40.7,4.4,22.3,8.4,9
"Boise State Broncos","Total","Total","Total","Total","Total",1048,568,480,27,0.22,6837,2924,3926,6.3,450,436,310,71.1,5.1,12.7,8.7,241
"Boise State Broncos","Matt Miller","Jay Ajayi","Dallas Burroughs","Shane Williams-Rhodes","Jake Roh",105,39,66,0,0.27,711,226,485,6.8,62,61,44,72.1,5.8,11,7.8,28
"Boise State Broncos","Jay Ajayi","Dallas Burroughs","Shane Williams-Rhodes","Jake Roh","Thomas Sperbeck",76,32,44,1,0.22,435,110,325,5.6,42,41,26,63.4,3.4,12.5,7.7,17
"Boston College Eagles","Total","Total","Total","Total","Total",781,525,256,11,0.16,4600,2992,1606,5.7,235,217,129,59.4,5.7,12.4,6.8,125
"California Golden Bears","Stephen Anderson","Daniel Lasco II","Trevor Davis","Kenny Lawler Jr.","Bryce Treggs",71,25,46,1,0.27,484,121,363,6.6,44,43,31,72.1,4.8,11.7,8.3,20
"California Golden Bears","Stephen Anderson","Daniel Lasco II","Chris Harper","Kenny Lawler Jr.","Bryce Treggs",133,39,94,8,0.17,891,183,715,6.6,93,88,59,67,4.7,12.1,7.7,23
"California Golden Bears","Stephen Anderson","Maurice Harris","Daniel Lasco II","Chris Harper","Bryce Treggs",90,35,55,3,0.13,648,222,426,7,53,52,33,63.5,6.3,12.9,8,12
"California Golden Bears","Total","Total","Total","Total","Total",921,374,547,36,0.18,5754,1663,4103,6.1,522,506,323,63.8,4.4,12.7,7.9,167
"Cincinnati Bearcats","Shaq Washington","Chris Moore","Max Morrison","Mekale McKay","Rod Moore",88,30,58,3,0.25,635,164,469,7,56,56,34,60.7,5.5,13.8,8.4,23
"Cincinnati Bearcats","Total","Total","Total","Total","Total",945,435,510,35,0.2,6037,2037,3945,6.2,492,489,295,60.3,4.7,13.4,8,194
"Clemson Tigers","Total","Total","Total","Total","Total",987,509,478,23,0.19,5297,1907,3404,5.3,451,446,292,65.5,3.7,11.7,7.5,191
"Clemson Tigers","Adam Humphries","Jordan Leggett","Wayne Gallman","Mike Williams","Artavis Scott",59,21,38,6,0.17,556,146,410,9.4,35,33,23,69.7,7,17.8,11.7,10
"Colorado Buffaloes","D.D. Goodson","Tyler McCulloch","Nelson Spruce","Michael Adkins II","Shay Fields",57,17,40,0,0.14,325,99,226,5.5,39,38,26,68.4,5.8,8.7,5.8,8
"Colorado Buffaloes","Tony Jones","D.D. Goodson","Tyler McCulloch","Nelson Spruce","Shay Fields",65,15,50,0,0.12,423,128,295,6.5,49,47,32,68.1,8.5,9.2,6,8
"Colorado Buffaloes","Total","Total","Total","Total","Total",994,426,568,29,0.22,5257,1836,3415,5.2,545,531,348,65.5,4.3,9.8,6.3,218
"Colorado State Rams","Dee Hart","Joe Hansley","Nolan Peralta","Rashard Higgins","Steven Walker",67,45,22,2,0.18,447,184,268,6.3,22,22,15,68.2,4.1,17.9,12.2,13
"Colorado State Rams","Charles Lovett","Dee Hart","Joe Hansley","Rashard Higgins","Steven Walker",57,17,40,3,0.14,490,54,428,7.8,39,38,28,73.7,3.2,15.3,11,9
"Colorado State Rams","Charles Lovett","Dee Hart","Joe Hansley","Rashard Higgins","Xavier Williams",73,21,52,1,0.3,466,152,314,6.3,51,50,22,44,7.2,14.3,6.2,22
"Colorado State Rams","Total","Total","Total","Total","Total",877,401,476,34,0.24,6225,2050,4177,6.9,448,439,287,65.4,5.1,14.6,9.3,216
"Connecticut Huskies","Total","Total","Total","Total","Total",680,333,347,12,0.22,3169,1198,1939,4.5,319,306,173,56.5,3.6,11.2,6.1,151
"Duke Blue Devils","Total","Total","Total","Total","Total",925,446,479,20,0.25,5014,2241,2757,5.3,466,457,263,57.5,5,10.5,5.9,243
"Duke Blue Devils","Josh Snead","Issac Blakeney","Jamison Crowder","David Reeves","Max McCaffrey",105,55,50,5,0.15,741,245,476,6.8,49,49,31,63.3,4.5,15.4,9.7,16
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","Max McCaffrey","Shaquille Powell","Erich Schneider",53,21,32,3,0.21,354,86,268,6.7,32,32,20,62.5,4.1,13.4,8.4,11
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","David Reeves","Max McCaffrey","Shaquille Powell",137,86,51,3,0.3,774,493,281,5.6,51,49,31,63.3,5.7,9.1,5.5,41
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","Max McCaffrey","Shaquille Powell","Johnell Barnes",62,14,48,3,0.41,414,35,379,6.1,44,42,24,57.1,2.5,15.8,8.6,28
"Duke Blue Devils","Issac Blakeney","Jamison Crowder","David Reeves","Max McCaffrey","Shaun Wilson",72,36,36,0,0.3,313,177,137,4.2,35,35,20,57.1,4.9,6.9,3.9,22
"East Carolina Pirates","Total","Total","Total","Total","Total",1069,400,669,31,0.17,6923,2096,4835,6.3,637,619,402,64.9,5.2,12,7.6,189
"East Carolina Pirates","Justin Hardy","Chris Hairston","Cam Worthy","Davon Grayson","Isaiah Jones",71,26,45,1,0.1,344,123,221,4.8,43,43,21,48.8,4.7,10.5,5.1,7
"East Carolina Pirates","Justin Hardy","Cam Worthy","Breon Allen","Davon Grayson","Isaiah Jones",153,44,109,1,0.21,990,164,827,6.3,102,98,69,70.4,3.7,12,8.1,33
"East Carolina Pirates","Justin Hardy","Cam Worthy","Breon Allen","Isaiah Jones","Jimmy Williams",74,24,50,0,0.14,575,109,466,7.6,46,44,34,77.3,4.5,13.7,10.1,11
"Florida Gators","Quinton Dunbar","Clay Burton","Latroy Pittman Jr.","Demarcus Robinson","Kelvin Taylor",73,39,34,2,0.32,331,171,160,4.5,33,33,17,51.5,4.4,9.4,4.8,23
"Florida Gators","Quinton Dunbar","Clay Burton","Latroy Pittman Jr.","Matt Jones","Demarcus Robinson",102,52,50,1,0.29,408,204,204,3.8,44,42,20,47.6,3.9,10.2,4.6,31
"Florida Gators","Total","Total","Total","Total","Total",836,495,341,18,0.21,4384,2228,2159,5.1,324,318,169,53.1,4.5,12.8,6.7,180
"Florida State Seminoles","Rashad Greene","Nick O'Leary","Jesus Wilson","Dalvin Cook","Travis Rudolph",107,38,69,1,0.25,628,202,426,5.7,66,65,35,53.8,5.3,12.2,6.5,27
"Florida State Seminoles","Rashad Greene","Nick O'Leary","Dalvin Cook","Ermon Lane","Travis Rudolph",53,22,31,1,0.2,390,134,261,7.1,31,31,23,74.2,6.1,11.3,8.4,11
"Florida State Seminoles","Rashad Greene","Nick O'Leary","Karlos Williams","Jesus Wilson","Travis Rudolph",96,32,64,2,0.28,665,146,520,6.6,63,62,43,69.4,4.6,12.1,8.3,28
"Florida State Seminoles","Total","Total","Total","Total","Total",959,421,538,26,0.21,6171,1922,4237,6.3,515,510,329,64.5,4.6,12.9,8.2,210
"Fresno State Bulldogs","Total","Total","Total","Total","Total",1042,493,549,24,0.17,5500,2433,3065,5.2,511,490,289,59,4.9,10.6,6,179
"Fresno State Bulldogs","Josh Harper","Greg Watson","Aaron Peck","Marteze Waller","Chad Olsen",61,33,28,0,0.28,271,72,199,4.4,26,26,17,65.4,2.2,11.7,7.7,17
"Fresno State Bulldogs","Josh Harper","Greg Watson","Marteze Waller","Delvon Hardaway","Chad Olsen",66,46,20,0,0.14,349,303,46,5.3,20,18,10,55.6,6.6,4.6,2.3,9
"Fresno State Bulldogs","Josh Quezada","Josh Harper","Greg Watson","Aaron Peck","Chad Olsen",55,26,29,0,0.16,246,120,126,4.5,28,26,15,57.7,4.6,8.4,4.5,9
"Georgia Bulldogs","Total","Total","Total","Total","Total",873,534,339,24,0.15,5901,3317,2599,6.5,322,316,217,68.7,6.2,12,8.1,136
"Georgia Bulldogs","Michael Bennett","Chris Conley","Malcolm Mitchell","Jeb Blazevich","Nick Chubb",89,35,54,4,0.23,612,193,426,6.5,52,51,34,66.7,5.5,12.5,8.2,22
"Georgia Tech Yellow Jackets","Total","Total","Total","Total","Total",990,776,214,19,0.1,6664,4782,1882,6.5,203,188,106,56.4,6.2,17.8,9.3,106
"Georgia Tech Yellow Jackets","Synjyn Days","Deon Hill","Tony Zenon","Darren Waller","DeAndre Smelter",55,36,19,2,0.11,318,209,109,5.8,19,18,9,50,5.8,12.1,5.7,6
"Hawaii Rainbow Warriors","Quinton Pedroza","Scott Harding","Steven Lakalaka","Harold Moleni","Marcus Kemp",76,26,50,2,0.15,335,76,261,4.2,47,47,22,46.8,2.9,11.9,5.6,12
"Hawaii Rainbow Warriors","Total","Total","Total","Total","Total",984,477,507,15,0.21,4686,1910,2767,4.6,465,460,228,49.6,4,12.1,6,213
"Hawaii Rainbow Warriors","Jordan Pu'u-Robinson","Quinton Pedroza","Scott Harding","Steven Lakalaka","Marcus Kemp",52,13,39,1,0.26,230,33,197,4.3,34,33,17,51.5,2.5,11.6,5.8,14
"Houston Cougars","Markeith Ambles","Wayne Beadle","Kenneth Farrow","Deontay Greenberry","Steven Dunbar",63,24,39,1,0.14,505,201,304,8,38,36,28,77.8,8.4,10.9,8,9
"Houston Cougars","Markeith Ambles","Kenneth Farrow","Daniel Spencer","Deontay Greenberry","Greg Ward Jr.",67,21,46,1,0.28,432,127,305,6.3,45,45,26,57.8,6,11.7,6.8,19
"Houston Cougars","Markeith Ambles","Kenneth Farrow","Deontay Greenberry","Demarcus Ayers","Steven Dunbar",76,33,43,4,0.21,639,302,337,8.3,38,39,25,64.1,9.2,13.5,8.9,16
"Houston Cougars","Markeith Ambles","Wayne Beadle","Ryan Jackson","Deontay Greenberry","Demarcus Ayers",75,38,37,1,0.14,320,129,189,4.1,32,32,22,68.8,3.4,8.6,5.9,11
"Houston Cougars","Markeith Ambles","Wayne Beadle","Ryan Jackson","Deontay Greenberry","Steven Dunbar",55,24,31,0,0.13,287,114,173,5.2,26,24,13,54.2,4.8,13.3,6.7,7
"Houston Cougars","Total","Total","Total","Total","Total",881,426,455,18,0.18,5242,2343,2897,5.8,424,418,260,62.2,5.5,11.1,6.8,159
"Houston Cougars","Markeith Ambles","Wayne Beadle","Kenneth Farrow","Deontay Greenberry","Demarcus Ayers",107,52,55,1,0.13,648,245,403,6,52,52,40,76.9,4.7,10.1,7.8,14
"Illinois Fighting Illini","Total","Total","Total","Total","Total",881,375,506,24,0.2,4757,1519,3255,5.3,469,468,287,61.3,4.1,11.3,6.9,184
"Illinois Fighting Illini","Martize Barr","Josh Ferguson","Justin Hardee","Geronimo Allison","Mike Dudek",68,21,47,4,0.31,457,91,367,6.3,43,43,26,60.5,4.3,14.1,8.5,22
"Indiana Hoosiers","Michael Cooper","Nick Stoner","Shane Wynn","Tevin Coleman","J-Shun Harris II",60,35,25,1,0.2,407,187,220,6.8,23,23,19,82.6,5.3,11.6,9.6,12
"Indiana Hoosiers","Total","Total","Total","Total","Total",851,512,339,7,0.12,4863,3174,1697,5.5,313,307,168,54.7,6.2,10.1,5.4,107
"Iowa Hawkeyes","Kevonte Martin-Manley","Damon Bullock","Jake Duzey","Tevaun Smith","Damond Powell",54,10,44,1,0.2,361,87,274,6.7,43,42,25,59.5,8.7,11,6.4,11
"Iowa Hawkeyes","Total","Total","Total","Total","Total",901,446,455,19,0.17,5102,2041,3077,5.5,433,432,262,60.6,4.6,11.7,7.1,155
"Iowa Hawkeyes","Kevonte Martin-Manley","Damon Bullock","Jake Duzey","Jacob Hillyer","Tevaun Smith",68,15,53,4,0.26,344,53,291,4.9,51,51,30,58.8,3.5,9.7,5.7,18
"Iowa State Cyclones","Total","Total","Total","Total","Total",907,368,539,21,0.2,4472,1479,2981,4.8,509,507,282,55.6,4,10.6,5.9,188
"Iowa State Cyclones","Jarvis West","Dondre Daley","Aaron Wimberly","E.J. Bibbs","Allen Lazard",58,24,34,2,0.23,246,78,168,4,31,29,18,62.1,3.3,9.3,5.4,14
"Iowa State Cyclones","Jarvis West","D'vario Montgomery","Aaron Wimberly","E.J. Bibbs","Allen Lazard",117,39,78,3,0.23,478,155,333,4,74,74,32,43.2,4,10.4,4.5,27
"Kansas Jayhawks","Nick Harwell","Jimmay Mundine","Tony Pierson","Nigel King","Corey Avery",76,40,36,1,0.17,312,13,287,3.8,33,32,20,62.5,0.3,14.4,8.7,14
"Kansas Jayhawks","Justin McCay","Nick Harwell","Jimmay Mundine","Tony Pierson","Corey Avery",64,30,34,0,0.11,221,84,131,3.3,30,29,14,48.3,2.8,9.4,4.4,7
"Kansas Jayhawks","Justin McCay","Nick Harwell","Jimmay Mundine","Tony Pierson","Nigel King",94,40,54,1,0.17,495,193,302,5.3,53,52,30,57.7,4.8,10.1,5.7,16
"Kansas Jayhawks","Justin McCay","Nick Harwell","Jimmay Mundine","Nigel King","Corey Avery",131,71,60,5,0.12,795,294,501,5.8,55,54,35,64.8,4.1,14.3,9.1,16
"Kansas Jayhawks","Total","Total","Total","Total","Total",837,432,405,14,0.15,3927,1471,2426,4.5,376,364,204,56,3.4,11.9,6.5,129
"Kansas State Wildcats","Zach Trujillo","Curry Sexton","Tyler Lockett","Glenn Gronkowski","Charles Jones",55,40,15,3,0.11,375,169,215,6.6,15,15,13,86.7,4.2,16.5,14.3,6
"Kansas State Wildcats","Zach Trujillo","Curry Sexton","Tyler Lockett","Deante Burton","Charles Jones",56,17,39,4,0.18,387,30,357,6.9,38,38,26,68.4,1.8,13.7,9.4,10
"Kansas State Wildcats","Curry Sexton","Tyler Lockett","Deante Burton","Charles Jones","Kody Cook",85,24,61,2,0.22,614,121,493,7.2,60,58,39,67.2,5,12.6,8.2,19
"Kansas State Wildcats","Total","Total","Total","Total","Total",886,442,444,22,0.2,5420,1749,3676,6,413,409,268,65.5,4,13.7,8.9,180
"Kansas State Wildcats","Zach Trujillo","DeMarcus Robinson","Curry Sexton","Tyler Lockett","Glenn Gronkowski",71,40,31,0,0.29,453,126,317,5.9,31,31,18,58.1,3.2,17.6,10.2,22
"Kansas State Wildcats","DeMarcus Robinson","Curry Sexton","Tyler Lockett","Deante Burton","Kody Cook",82,21,61,2,0.24,703,151,552,8.6,61,60,40,66.7,7.2,13.8,9,20
"Kentucky Wildcats","Total","Total","Total","Total","Total",830,394,436,14,0.18,4574,1812,2778,5.3,403,392,229,58.4,4.6,12.1,6.9,151
"LSU Tigers","Total","Total","Total","Total","Total",894,594,300,17,0.18,5031,2913,2118,5.4,275,270,138,51.1,4.9,15.3,7.7,170
"LSU Tigers","Travis Dickson","Terrence Magee","Travin Dural","Malachi Dupre","Trey Quinn",52,21,31,1,0.3,244,78,161,4.4,29,29,12,41.4,3.7,13.4,5.6,17
"Louisville Cardinals","Total","Total","Total","Total","Total",909,448,461,19,0.27,5021,1762,3247,5.3,422,417,234,56.1,3.9,13.9,7.7,249
"Maryland Terrapins","Total","Total","Total","Total","Total",830,375,455,18,0.24,4451,1585,2865,5.2,418,408,228,55.9,4.2,12.6,6.9,204
"Maryland Terrapins","Deon Long","Marcus Leak","Brandon Ross","Stefon Diggs","Jacquille Veii",69,24,45,2,0.23,357,81,276,5.1,40,39,21,53.8,3.4,13.1,6.9,16
"Maryland Terrapins","Deon Long","Marcus Leak","Brandon Ross","Stefon Diggs","Andrew Isaacs",53,22,31,3,0.29,406,166,240,7.3,31,31,20,64.5,7.5,12,7.7,16
"Memphis Tigers","Brandon Hayes","Keiwone Malone","Alan Cross","Tevin Jones","Mose Frazier",72,32,40,0,0.14,535,291,244,7.4,38,38,24,63.2,9.1,10.2,6.4,10
"Memphis Tigers","Total","Total","Total","Total","Total",1005,572,433,23,0.18,5546,2472,3076,5.4,417,410,262,63.9,4.3,11.7,7.4,191
"Miami (FL) Hurricanes","Clive Walford","Phillip Dorsett","Duke Johnson","Malcolm Lewis","Braxton Berrios",73,30,43,3,0.22,613,253,360,8.4,43,42,22,52.4,8.4,16.4,8.4,16
"Miami (FL) Hurricanes","Total","Total","Total","Total","Total",814,404,410,26,0.19,5463,2236,3244,6.5,389,386,226,58.5,5.5,14.4,8.3,157
"Miami (FL) Hurricanes","Clive Walford","Phillip Dorsett","Duke Johnson","Malcolm Lewis","Standish Dobard",89,65,24,0,0.14,717,479,238,7.8,21,21,14,66.7,7.4,17,11.3,13
"Michigan State Spartans","Tony Lippett","Keith Mumphery","Jeremy Langford","Macgarrett Kings Jr.","Josiah Price",54,15,39,2,0.23,287,74,224,5,38,40,20,50,4.9,11.2,5.9,13
"Michigan State Spartans","Total","Total","Total","Total","Total",947,538,409,26,0.17,6257,2788,3453,6.5,399,399,236,59.1,5.2,14.6,8.7,164
"Michigan Wolverines","Total","Total","Total","Total","Total",738,386,352,9,0.26,3925,1885,2036,5.2,324,325,188,57.8,4.9,10.8,6.3,193
"Minnesota Golden Gophers","Total","Total","Total","Total","Total",853,578,275,12,0.16,4645,2801,1844,5.3,254,250,127,50.8,4.8,14.5,7.3,145
"Mississippi State Bulldogs","Total","Total","Total","Total","Total",999,555,444,31,0.18,6672,3030,3639,6.5,421,421,260,61.8,5.5,14,8.6,180
"Mississippi State Bulldogs","Jameon Lewis","Malcolm Johnson","Robert Johnson","Josh Robinson","De'Runnya Wilson",140,72,68,3,0.21,952,441,510,6.6,63,63,38,60.3,6.1,13.4,8.1,30
"Mississippi State Bulldogs","Malcolm Johnson","Robert Johnson","Josh Robinson","Fred Ross","De'Runnya Wilson",60,32,28,2,0.07,406,86,320,6.8,28,28,20,71.4,2.7,16,11.4,4
"Missouri Tigers","Jimmie Hunt","Marcus Murphy","Bud Sasser","Wesley Leftwich","Sean Culkin",53,25,28,1,0.09,265,130,135,4.6,27,26,11,42.3,5.2,12.3,5,5
"Missouri Tigers","Jimmie Hunt","Marcus Murphy","Bud Sasser","Darius White","Sean Culkin",228,108,120,8,0.19,1207,410,793,5.2,117,114,62,54.4,3.8,12.8,6.8,44
"Missouri Tigers","Jimmie Hunt","Bud Sasser","Darius White","Sean Culkin","Russell Hansbrough",208,110,98,5,0.13,1209,475,740,5.7,95,93,56,60.2,4.3,13.2,7.8,28
"Missouri Tigers","Total","Total","Total","Total","Total",951,513,438,25,0.18,5112,2461,2648,5.3,415,407,221,54.3,4.8,12,6.4,171
